Provincia,Partido,Localidad,Link Indec,Otros,"0,256 mbps","0,375 mbps","0,5 mbps","0,512 mbps","0,625 mbps","0,75 mbps",1 mbps,"1,25 mbps","1,5 mbps",2 mbps,"2,2 mbps","2,5 mbps",3 mbps,"3,3 mbps","3,5 mbps",4 mbps,"4,5 mbps",5 mbps,6 mbps,"6,4 mbps",7 mbps,"7,5 mbps",8 mbps,9 mbps,10 mbps,11 mbps,12 mbps,13 mbps,14 mbps,15 mbps,16 mbps,17 mbps,18 mbps,19 mbps,20 mbps,21 mbps,22 mbps,23 mbps,24 mbps,25 mbps,"25,1 mbps","25,11 mbps","25,5 mbps",26 mbps,30 mbps,31 mbps,32 mbps,34 mbps,35 mbps,36 mbps,38 mbps,39 mbps,40 mbps,41 mbps,45 mbps,46 mbps,49 mbps,50 mbps,55 mbps,58 mbps,59 mbps,60 mbps,61 mbps,62 mbps,64 mbps,65 mbps,66 mbps,70 mbps,75 mbps,78 mbps,80 mbps,82 mbps,83 mbps,85 mbps,90 mbps,92 mbps,95 mbps,100 mbps
BUENOS AIRES,Almirante Brown,Claypole,6028010,0,0.0,0.0,0,0.0,0.0,2,7,0.0,0,0,0.0,0.0,2,0.0,3,0,0.0,2,47,0.0,0,0.0,0,0,467,0.0,3,0.0,0.0,1,0,0.0,9,0.0,16,0.0,0.0,0.0,0,63,0.0,0.0,0.0,0.0,"4,114",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,452,0.0,0.0,0.0,"2,090",0.0,0.0,0.0,0.0,0.0,0,459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,381"
BUENOS AIRES,Almirante Brown,Don Orione,6028010,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,1,0,0.0,0,0.0,0,0,412,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,32,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,"1,828",0.0,0.0,0.0,0.0,0.0,0,420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,166"
BUENOS AIRES,Almirante Brown,Glew,6028010,1,0.0,0.0,5,0.0,0.0,7,5,0.0,0,15,0.0,0.0,5,0.0,27,29,0.0,2,12,0.0,0,0.0,16,0,336,0.0,6,0.0,0.0,8,0,0.0,9,0.0,0,0.0,0.0,0.0,0,106,0.0,0.0,0.0,0.0,"11,737",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,646,0.0,0.0,0.0,"2,731",0.0,0.0,0.0,0.0,0.0,0,752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,520"
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,0,0.0,0.0,0,0.0,0.0,0,1,0.0,0,0,0.0,0.0,0,0.0,2,0,0.0,1,18,0.0,0,0.0,3,0,471,0.0,5,0.0,0.0,0,0,0.0,32,0.0,16,0.0,0.0,0.0,0,77,0.0,0.0,0.0,0.0,"1,383",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,982,0.0,0.0,0.0,"1,425",0.0,0.0,0.0,0.0,0.0,0,355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,432"
BUENOS AIRES,Almirante Brown,Longchamps,6028010,1,0.0,0.0,1,0.0,0.0,3,0,0.0,0,0,0.0,0.0,3,0.0,21,0,0.0,5,1,0.0,0,0.0,4,0,639,0.0,12,0.0,0.0,4,0,0.0,12,0.0,1,0.0,0.0,0.0,0,88,0.0,0.0,0.0,0.0,"7,433",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,973,0.0,0.0,0.0,"2,346",0.0,0.0,0.0,0.0,0.0,0,654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,863"
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,1,0.0,0.0,0,0.0,0.0,0,3,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,1,42,0.0,0,0.0,0,0,149,0.0,3,0.0,0.0,0,0,0.0,4,0.0,3,0.0,0.0,0.0,0,29,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,373,0.0,0.0,0.0,"1,501",0.0,0.0,0.0,0.0,0.0,0,323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,729"
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,2,0,0.0,2,0,0.0,0,0.0,0,0,298,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,13,0.0,0.0,0.0,0.0,"4,094",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,59,0.0,0.0,0.0,"1,261",0.0,0.0,0.0,0.0,0.0,0,267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,0,0.0,0.0,3,0.0,0.0,10,29,0.0,0,0,0.0,0.0,99,0.0,18,339,0.0,9,60,0.0,0,0.0,3,0,691,0.0,2,0.0,0.0,9,0,0.0,1,0.0,0,0.0,0.0,0.0,0,59,0.0,0.0,0.0,0.0,"9,970",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,746,0.0,0.0,0.0,"2,788",0.0,0.0,0.0,0.0,0.0,0,650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,221"
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,1,0.0,0.0,1,0.0,0.0,4,9,0.0,0,0,0.0,0.0,40,0.0,21,0,0.0,0,118,0.0,0,0.0,0,0,129,0.0,0,0.0,0.0,1,0,0.0,1,0.0,16,0.0,0.0,0.0,0,8,0.0,0.0,0.0,0.0,"3,236",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,76,0.0,0.0,0.0,"1,387",0.0,0.0,0.0,0.0,0.0,0,284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,278"
BUENOS AIRES,Almirante Brown,San Jose,6028010,0,0.0,0.0,3,0.0,0.0,1,0,0.0,0,0,0.0,0.0,0,0.0,2,0,0.0,4,124,0.0,0,0.0,0,0,515,0.0,1,0.0,0.0,0,0,0.0,2,0.0,58,0.0,0.0,0.0,0,32,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,294,0.0,0.0,0.0,"3,134",0.0,0.0,0.0,0.0,0.0,0,686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,341"
